rooms,serie,area,furniture,floor,region,price
3,0,123,1,3,1,105017
1,0,44,1,6,3,29000
3,0,111,1,10,1,155000
2,0,85,1,3,2,85000
3,1,100,1,6,4,63000
3,0,87,1,5,2,83000
4,0,140,1,9,2,120000
2,0,50,1,6,3,40500
4,0,220,1,4,2,170000
2,0,70,1,3,1,73000
3,0,62,1,5,4,51500
2,0,43,1,2,1,35000
2,1,43,1,11,1,35000
2,0,43,1,1,1,35000
2,0,43,1,2,4,35000
2,0,67,1,8,3,35000
2,0,62,1,1,3,35000
1,0,34,1,1,3,35000
1,0,38,1,2,3,35000
1,0,30,1,4,1,35000
1,1,62,1,2,1,35000
1,1,30,1,2,3,35000
1,0,32,1,9,"3
",35000
1,0,34,1,7,1,35000
1,0,45,1,5,3,35000
1,0,58,1,5,3,35000
1,0,43,1,9,3,35000
2,0,78,1,7,2,35000
2,0,35,1,8,3,35000
2,0,32,1,1,2,35000
1,0,28,1,1,4,35000
2,0,68,1,9,4,35000
2,0,46,1,9,2,35000
2,1,43,1,2,4,35000
1,0,31,1,3,3,35000
1,0,54,0,1,2,35000
2,0,39,1,3,3,35000
2,0,35,1,9,3,35000
3,0,33,1,8,1,35000
2,1,41,1,4,3,35000
2,0,77,1,4,3,35000
2,0,48,1,4,4,35000
3,0,37,1,9,1,35000
1,0,55,0,1,4,35000
2,0,40,1,9,3,35000
3,0,62,1,3,4,35000
1,0,55,1,4,4,35000
2,0,58,1,4,2,35088
2,0,58,1,3,2,35088
1,0,30,1,6,2,35200
1,0,34,1,7,2,35200
1,0,35,1,6,4,35200
1,0,34,1,5,4,35200
1,0,45,1,8,2,35200
2,0,47,1,8,1,35200
1,0,47,1,8,1,35200
1,0,47,1,8,1,35250
2,0,36,1,4,1,35300
2,0,62,1,2,2,35340
2,0,62,1,6,3,35340
3,0,80,1,4,1,65000
2,1,75,1,4,2,65000
3,1,69,1,3,3,65000
2,1,60,1,4,2,65000
2,1,68,1,2,3,65000
3,0,63,1,2,2,65000
3,0,76,1,6,3,65000
3,0,77,1,4,1,65000
2,0,59,1,5,1,65000
2,0,64,1,6,2,65000
2,0,78,1,6,3,65000
3,0,67,1,3,1,65000
3,0,63,1,6,3,65000
3,1,103,1,4,3,64300
2,1,70,1,10,3,64000
3,0,90,1,4,2,63900
